Category_1,Category_2,Ordinal_1,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Target
C,X,High,0.431,0.3909,3.406,2.354,,-4.906,0.7275,-4.062,1.382,-1.154,-0.7173,2.666,149.8
B,Y,Medium,-1.724,3.828,2.46,-2.316,-1.907,-0.7363,0.7896,5.574,1.315,,2.457,-0.515,17.77
C,X,High,0.575,0.9575,,0.293,-1.712,-1.543,,-0.7344,0.416,0.718,-0.3743,,53.34
B,Y,Medium,0.1392,3.738,1.451,4.19,0.6206,-1.155,1.274,7.05,0.542,-1.223,-1.188,-1.947,69.06
C,,Low,-4.55,1.379,0.794,-0.6694,-0.967,,0.7095,2.633,1.456,0.4744,-2.2,-3.314,81.7
A,X,Medium,0.179,1.788,-0.1166,2.389,-1.039,,1.008,-0.7026,1.0205,,4.27,-0.625,55.53
C,Y,High,,3.934,-4.027,1.725,0.3337,0.092,0.4036,0.7017,3.814,-0.92,-4.03,,9.76
B,X,High,-2.91,4.28,3.875,-1.813,-1.152,1.148,-0.4065,-2.434,0.9673,-0.7954,,-0.8945,108.4
B,X,Medium,2.936,1.313,0.01987,0.2505,2.027,-1.896,0.5464,0.669,-0.4001,-2.81,-1.719,4.242,41.16
A,X,High,-2.64,1.75,1.429,-0.601,-1.185,3.041,0.76,-1.641,1.839,5.055,,6.48,-6.043
A,Y,Medium,-2.088,0.616,-1.188,,0.0885,3.068,0.5625,1.76,0.3657,0.5596,-4.457,1.231,-8.695
C,Y,Low,2.012,1.238,-0.4001,-0.1289,1.411,-3.266,0.09375,2.326,1.668,0.7075,-0.1364,-0.805,6.35
A,Y,Medium,4.742,-1.119,0.5425,1.368,-0.4841,-1.238,0.5796,-1.19,-0.638,0.2817,-1.215,1.505,15.055
C,X,,3.156,0.6133,1.225,-2.705,5.574,1.86,2.64,-0.603,3.05,-1.237,-6.215,3.125,54.53
A,X,High,-0.3457,-0.8286,1.034,-2.332,1.917,-0.092,-0.1805,3.746,0.537,-0.528,1.365,-0.5054,33.6
C,Y,Low,-1.706,-0.2502,0.7134,-2.248,-0.12427,,1.46,-2.139,-0.04767,1.144,0.797,3.791,68.94
A,Y,High,-2.082,5.56,0.8423,0.287,1.902,-2.76,0.9473,3.053,1.397,-1.452,,-0.2944,72.2
A,Y,Medium,5.277,-4.887,-0.4836,0.01717,0.8965,1.68,2.31,1.625,,3.006,1.173,2.932,-14.9
A,X,Low,-1.684,2.805,2.426,0.1746,1.301,-2.049,0.3806,0.3083,-0.0856,-0.9053,-2.248,-1.343,92.2
C,X,Low,1.708,-1.329,-0.4895,1.018,-0.1948,-1.359,1.004,0.1702,-1.453,-1.014,1.168,-0.7256,78.8
C,X,High,-0.01917,-0.7695,1.187,-3.982,-3.443,0.01682,1.427,-0.2915,0.03848,0.0964,3.586,5.625,-2.844
,X,Medium,-1.847,-0.2324,-1.3545,2.135,-0.01396,-0.985,0.91,1.394,-0.1274,1.575,3.219,-2.34,90.44
A,X,Low,0.8433,-1.811,-0.574,-2.938,-0.996,4.316,2.23,-1.402,1.066,0.3438,2.723,5.234,-9.734
A,Y,Low,4.34,-2.07,4.117,0.714,0.9434,0.6753,0.211,3.973,-0.3276,0.618,,3.205,27.6
B,X,Low,1.283,0.2744,2.287,0.7134,1.13,-3.336,0.6543,-2.088,-0.592,1.804,,-3.738,105.1
A,X,Medium,2.418,1.989,-0.0795,-1.244,-0.8574,-4.703,0.1372,-0.7827,0.66,-3.605,-5.043,-0.7725,55.12
A,,Low,0.626,2.342,0.3062,2.154,,,1.281,-0.5225,0.4753,1.402,-5.56,1.997,36.4
B,X,Medium,0.8696,-2.822,-0.9463,,-1.401,2.459,1.708,0.1952,0.3386,-1.827,,0.437,57.28
A,X,High,-3.92,-0.4407,-0.695,2.756,-1.281,0.2942,1.766,2.994,2.605,0.7236,0.0393,3.645,87.4
B,X,Medium,-6.004,-0.953,0.304,-0.1346,-0.3323,-0.403,0.8315,,0.6753,0.2512,-1.655,-1.653,120.7
C,X,Low,-0.11926,,0.3892,3.863,-1.928,0.4502,1.126,2.71,1.0,1.994,1.74,-4.52,83.3
B,Y,Low,0.603,1.422,2.355,0.2205,-0.2024,-3.348,1.426,0.591,,2.582,,-3.078,71.56
B,Y,Low,0.5566,-2.426,1.838,1.695,2.146,-1.452,,0.9805,1.155,2.146,-1.863,1.282,81.75
A,X,Low,0.6836,0.9077,-0.4016,0.8335,-0.02333,-2.684,0.4521,3.28,-0.5107,-2.084,1.187,-0.9395,47.84
C,Y,Low,-0.8906,1.341,0.11176,-3.459,2.78,-3.45,0.2708,-0.997,0.95,1.179,2.676,3.502,45.6
A,Y,Medium,1.008,-1.779,-1.016,0.4827,1.305,-0.7754,-0.1733,1.439,1.866,-1.82,1.734,-2.203,58.5
A,Y,High,2.252,5.156,0.837,-1.888,-0.435,3.762,2.438,0.00768,1.579,6.133,0.91,-0.082,-78.4
C,X,Medium,-1.24,1.611,,4.004,1.592,2.64,1.16,-3.248,-0.307,-0.962,2.422,-1.182,119.4
A,X,High,5.043,-2.834,0.6504,-1.491,0.528,0.5806,2.223,-2.184,0.0362,1.143,1.71,0.7935,21.05
C,X,Medium,1.031,-0.947,0.4148,0.1117,2.01,4.812,-0.492,0.906,-0.5005,1.666,6.152,1.806,22.6
A,X,Medium,-2.844,2.35,-0.2125,1.742,0.963,-3.34,2.502,,0.4019,1.249,0.4592,1.002,68.94
A,Y,Low,0.3938,-0.4856,0.01842,-2.021,-2.21,-0.2776,1.459,3.67,2.61,-0.2362,-3.223,1.966,-8.195
B,X,Low,0.8057,2.426,-2.9,-3.723,0.9565,0.002695,2.336,4.773,1.078,1.09,-0.2778,-0.3276,-34.47
C,Y,Low,-4.117,-1.351,,1.789,-0.6504,0.814,1.01,2.783,-0.374,0.781,-4.508,3.492,76.6
C,Y,Medium,2.955,1.684,-2.203,0.001372,1.355,0.7437,-0.10895,-1.146,0.6567,3.232,3.139,3.414,-42.78
A,Y,Medium,0.1571,-1.378,0.276,-1.112,-0.7397,1.083,0.2446,-2.566,-0.4258,-4.2,1.101,-3.281,104.7
C,Y,Medium,1.638,-2.053,1.378,,-0.196,2.855,1.935,-1.917,0.9736,-0.4644,-1.56,-0.6147,83.06
A,Y,Medium,,1.128,,2.107,-0.3713,0.2,1.463,0.7427,-0.5454,5.29,0.1737,1.729,8.28
A,Y,Low,-3.756,2.621,,-0.3784,-0.2727,-4.832,1.229,4.996,1.434,-3.068,-2.014,3.594,49.1
A,Y,High,1.388,0.1932,-0.2389,1.0205,-2.15,-1.712,1.019,2.893,1.098,0.505,-1.064,3.006,10.35
C,X,High,,-0.99,-1.063,-2.766,1.092,0.5625,0.1113,,0.9487,-2.11,-4.15,-2.902,46.4
A,X,Medium,1.383,2.182,-0.0845,-2.074,-1.898,-3.008,2.262,3.52,,-3.545,0.3506,2.068,9.65
C,X,High,-0.38,-1.74,3.938,0.8965,0.688,-3.883,1.817,3.09,-1.811,-0.4824,0.9243,-0.727,147.9
A,X,Low,-3.547,,-0.07935,-1.097,0.4924,-1.27,1.993,3.559,0.2634,2.367,-1.56,-0.05942,39.53
A,X,Low,6.684,5.99,-0.6333,0.4138,-0.3677,2.41,2.166,0.1467,,5.004,-1.741,-0.749,-94.75
A,X,Medium,-2.203,2.826,-0.6123,-3.8,0.4868,0.365,2.717,1.73,0.412,3.852,2.988,,-10.89
B,X,Medium,4.754,-0.906,1.037,0.4468,0.3625,-3.293,1.16,2.174,-0.0943,0.1755,1.304,2.096,15.33
A,X,Low,-2.357,-0.5005,-0.826,2.082,,-0.8345,1.118,,-0.02469,0.293,,-3.049,128.6
B,X,High,-1.704,-0.897,-0.728,-0.4639,3.111,5.02,1.601,7.37,1.816,1.287,3.021,-1.605,26.9
A,X,Medium,2.2,-1.924,0.7573,-0.868,,0.0616,0.5464,2.256,-0.3367,1.5625,2.834,-3.986,24.12
A,X,High,0.2484,2.164,1.39,-2.402,1.429,-8.54,0.9556,1.835,1.867,-0.3804,5.06,0.46,63.56
A,Y,Medium,-0.0643,-1.297,-0.6484,-3.465,0.3113,0.0371,0.584,8.305,1.662,-0.5303,7.35,,-16.69
C,X,,-0.0003324,-1.117,0.6475,0.4573,-1.273,0.04547,-0.464,0.796,1.843,2.092,-3.582,-0.4473,57.06
B,X,Medium,-2.951,0.6987,-0.3125,1.8,,4.016,0.9424,1.285,2.795,2.494,-4.34,-1.856,68.5
C,Y,Low,-0.981,3.05,0.3247,-2.695,-2.535,-2.08,1.067,2.275,-0.847,2.523,1.39,-1.616,14.195
A,Y,Low,0.597,1.012,-0.4248,0.9746,0.507,-0.04825,-0.53,1.797,0.3164,-0.3477,-3.006,1.176,10.27
C,Y,High,-0.9927,0.03625,,0.904,0.6616,3.045,-0.3933,-2.498,0.1692,-3.523,3.352,2.64,70.25
C,X,Low,4.95,-3.33,-1.227,-2.713,-1.449,-1.984,0.2405,3.658,1.583,0.6655,-1.524,-1.98,-25.03
C,X,High,-3.242,2.42,0.9717,0.7964,,1.562,1.712,2.586,0.4712,-1.784,-3.395,2.586,101.25
A,Y,Low,2.836,1.076,-0.08984,2.512,-1.21,4.535,1.657,-0.691,,0.1709,3.168,9.305,-29.36
C,Y,,3.822,6.293,1.287,-0.8765,1.607,,1.089,-4.113,1.443,-0.5625,2.045,2.152,22.33
A,Y,High,2.135,3.055,-0.3428,-0.1978,3.172,-0.4666,0.984,,0.933,-2.914,-2.746,1.261,-12.11
C,X,Low,2.535,-2.494,2.516,1.361,-0.2196,-4.92,0.929,,-0.6465,-0.1709,3.771,-3.61,130.5
C,X,Low,0.62,0.04202,-3.84,3.592,1.085,0.245,0.7915,-0.347,0.8467,0.7983,-4.8,4.055,35.3
C,X,Low,,-4.336,-1.583,-1.413,3.064,2.889,-0.3762,-0.759,1.134,0.3474,2.537,1.896,60.88
C,X,High,-0.6997,-0.5283,-0.9565,-0.744,0.04453,,1.016,2.768,0.0362,-5.363,,1.912,75.9
B,Y,Low,-1.206,0.4185,1.075,-0.435,0.4395,3.178,0.3994,2.838,-0.799,-2.473,-3.127,2.434,25.52
C,X,Medium,-1.2705,-3.893,-1.391,-0.111,2.668,3.057,2.016,,-0.777,-5.414,-1.673,-0.2473,122.2
A,X,Medium,,-5.08,-0.2747,1.065,1.15,0.1301,1.2295,0.7554,,3.479,-1.088,0.874,38.16
B,Y,High,1.258,-1.983,-1.937,,-1.432,2.094,1.039,-1.307,1.269,2.41,2.1,-3.736,-4.555
C,Y,Low,2.352,-0.904,-3.02,-0.5234,0.664,1.341,-0.556,7.07,-0.58,5.195,6.32,-1.5625,-93.7
A,X,Medium,-0.1215,0.411,-0.8,-3.684,,0.3826,,7.53,0.767,1.186,0.2852,1.562,-49.25
B,X,Medium,-0.6753,-2.307,-2.543,-0.4153,1.456,-1.77,2.08,-0.8076,-0.351,-1.845,0.009895,1.061,90.5
B,X,Medium,-5.703,1.77,-1.805,-0.2078,,4.137,0.2208,-5.02,1.322,-3.246,-4.547,6.523,78.44
A,Y,Low,-0.504,5.125,1.542,1.769,-3.123,-1.671,0.4028,-1.086,1.134,-0.4268,-0.9507,2.232,55.47
A,X,Medium,-3.25,0.2109,1.994,,-2.922,-0.4478,1.224,-1.602,-0.7188,-1.768,-0.1387,1.228,97.75
,Y,Low,-1.089,0.1956,-3.838,-2.125,-2.256,-6.746,-0.3918,1.252,2.863,2.334,2.166,,8.99
A,X,Low,1.423,0.2578,1.483,1.006,0.4202,-2.186,-0.2534,1.297,2.633,-1.629,-0.1532,3.195,58.16
,Y,Low,-3.352,-2.893,-2.248,-2.3,1.472,0.04364,-0.06113,2.385,0.4502,-0.1261,1.231,4.285,22.78
A,Y,High,0.2964,-2.135,2.709,4.367,-0.5933,-2.334,2.123,-0.821,1.504,-1.936,0.362,-1.328,177.4
B,Y,Medium,-1.324,-1.903,-0.6997,0.4873,-0.4028,0.566,,0.668,-1.025,-3.055,-2.803,3.324,48.22
A,X,Medium,-0.2223,0.8433,-1.274,0.6216,-0.8896,-0.587,0.2988,1.336,0.9814,-0.9346,1.588,0.432,37.84
A,Y,Low,0.7974,3.88,-0.2986,-1.32,0.6465,-2.754,0.698,1.285,3.65,-0.586,-3.873,0.625,16.22
C,,Medium,1.662,-3.043,-2.531,-0.575,-1.389,-1.934,1.119,2.838,0.2467,-2.152,0.992,1.16,39.1
C,X,Medium,4.65,5.45,1.343,-0.4827,0.6274,6.11,1.726,-1.699,0.8086,3.379,0.3835,-2.934,-22.2
B,X,High,0.2773,-0.4902,1.868,1.088,-0.3074,2.535,1.5,-1.168,1.576,-4.035,-1.267,0.3994,144.0
B,Y,Low,0.136,2.236,0.4763,2.871,-0.89,1.049,0.927,3.879,0.9463,-0.7295,-0.1274,-1.619,56.16
,Y,Medium,1.958,-0.01978,,2.3,2.975,-1.154,0.05292,0.833,0.912,2.443,1.486,-1.01,78.56
C,X,High,-1.171,1.396,-2.93,0.4124,-0.7305,0.8022,0.1848,2.6,0.1703,3.734,1.098,6.324,-50.25
C,X,Medium,-1.159,-0.3176,-1.885,-1.714,-0.886,,0.522,-0.919,-0.857,0.9414,0.6694,-0.7236,10.445
A,X,Medium,-2.361,-2.465,-0.5054,1.656,0.569,,1.147,2.615,-0.1992,0.2007,-1.421,-0.717,119.9
C,X,Medium,,8.16,1.827,-3.854,0.3394,0.0483,1.0625,1.882,-0.4988,-3.877,4.96,3.459,13.35
A,Y,Low,2.055,-1.693,0.525,-0.4158,-1.217,-5.96,-0.1462,2.473,-0.5537,3.547,1.623,-0.2593,-3.29
B,Y,High,-3.426,2.154,-1.109,-1.584,1.766,-6.477,0.2786,-0.6167,-0.2104,1.327,1.751,-2.48,84.4
B,Y,Medium,5.914,2.76,2.658,-3.965,2.129,3.336,0.5996,3.025,0.971,-0.823,2.326,-0.975,-49.5
C,X,Medium,1.722,-2.428,-3.049,-0.02835,0.1958,5.27,1.27,-1.062,0.5103,5.023,6.04,5.46,-27.38
A,Y,High,-3.342,-4.164,0.1837,-2.291,0.1295,3.16,0.7217,-1.469,,1.248,-3.285,0.7534,47.38
C,X,Low,-0.02785,4.06,2.242,1.026,1.636,1.232,,-1.721,-0.02808,0.864,-0.5293,5.15,88.9
A,X,High,-0.0889,1.048,-3.068,2.83,0.9155,1.475,1.02,-1.182,-0.03955,2.87,-0.984,5.3,3.076
B,X,High,-0.698,1.261,3.576,-0.7363,0.2693,-0.1176,1.319,1.21,0.3235,0.01487,0.2328,1.364,79.8
B,X,Medium,-0.10675,0.1274,-0.282,-0.6675,1.345,8.31,1.445,0.508,1.749,-5.91,1.043,1.952,82.1
B,X,High,0.0671,-0.953,0.2585,-0.2634,-0.12195,-0.2544,1.525,,-0.152,-1.687,0.3057,1.596,67.44
B,Y,High,0.8516,-1.072,-0.6963,1.205,0.376,-0.1486,1.028,,1.649,0.207,4.285,5.188,-0.3325
B,X,High,0.6855,-1.022,2.143,2.383,-0.445,-5.25,0.266,-1.907,0.674,0.088,-2.97,4.402,116.4
A,X,,1.541,2.348,1.614,3.95,1.232,1.183,1.068,-1.438,2.781,-0.7075,1.018,0.4668,115.0
B,X,High,1.645,-4.273,2.826,-0.5503,1.631,3.764,1.8,1.206,0.3757,2.342,-0.5605,4.23,35.75
B,Y,Medium,-2.078,-7.645,0.894,-0.1832,-0.825,2.643,1.486,,0.0003135,2.348,4.59,6.023,90.06
C,X,Medium,-1.944,3.479,2.133,-1.205,0.3357,1.345,-0.04593,1.736,1.261,-0.2148,2.225,1.398,74.2
B,Y,Low,-0.9844,0.864,1.238,-0.93,2.197,-0.1611,-0.4663,5.004,2.6,0.3223,-0.5625,2.111,34.94
C,X,,,6.625,,5.24,-0.2654,4.113,2.033,,3.238,0.272,3.865,-3.928,50.22
A,X,High,1.926,2.51,7.875,-2.85,0.5825,1.16,-0.0698,0.5547,0.41,1.71,1.519,0.2856,47.62
A,Y,High,-2.842,3.332,1.012,-1.03,-1.664,1.806,-1.442,0.3787,1.426,-1.129,3.877,1.664,44.06
C,X,Medium,0.1705,-3.865,,-2.412,-0.1908,0.9097,1.342,0.1355,2.168,-0.088,-0.05658,-0.5264,48.2
B,Y,Low,3.998,-1.969,0.657,2.64,-0.04398,,0.156,1.35,-1.646,-0.853,-1.153,-1.226,49.16
A,Y,Medium,-1.785,2.201,0.036,0.1597,0.4678,-1.569,1.873,0.613,0.761,0.2751,2.73,-0.669,53.38
C,X,Low,-0.561,1.525,0.8374,0.94,-1.376,-2.08,0.5093,-2.273,3.398,-2.895,1.539,0.463,112.4
B,X,Low,0.4993,-2.766,1.658,-0.03384,-0.5215,-1.343,0.3894,1.604,,-0.1947,-1.979,-1.155,66.1
C,X,Medium,-0.6885,,-0.0899,0.7603,-0.0777,-1.588,-0.516,-2.334,-0.1238,0.4202,-0.03632,1.351,59.6
A,Y,Medium,0.7573,1.359,1.821,-2.322,0.7935,0.1663,1.209,-5.195,0.9907,0.599,0.401,9.43,13.02
C,Y,Low,2.305,3.123,0.2842,2.828,-3.213,7.594,0.507,-0.05753,0.3857,-1.444,-0.733,-1.999,17.17
B,Y,High,5.594,-2.383,0.7646,0.406,0.5747,5.62,0.00783,0.859,2.238,-1.514,-1.33,,23.67
B,X,Low,1.961,1.428,-0.2168,1.872,-1.5,-6.957,2.275,3.828,-0.463,-2.488,-2.777,1.143,73.06
B,X,Medium,4.387,4.227,0.6187,3.95,0.742,-4.38,-0.385,3.34,0.652,1.178,-1.1045,0.5537,26.98
B,X,High,-4.223,0.3142,0.7144,-0.618,0.4255,,0.0468,-1.597,0.4434,-1.056,-0.86,0.2288,95.94
,Y,,-0.8306,-0.1941,-0.9214,2.707,-0.933,0.6816,0.873,6.266,0.6577,-0.8896,-3.04,0.8413,38.47
C,X,Low,1.597,-2.17,1.464,-1.134,1.183,-1.561,1.214,,-0.392,-1.248,5.53,-3.3,72.56
B,Y,Medium,-3.92,0.8857,-0.373,2.812,-0.2795,-1.232,0.3618,2.639,1.093,-3.6,-1.566,-2.762,124.9
A,X,High,1.839,2.59,1.701,0.9043,1.351,0.9775,-0.2263,0.373,1.738,-2.14,0.628,-3.584,64.4
C,Y,Low,9.05,6.38,0.09955,-2.803,0.2285,2.08,0.604,-0.02667,0.687,1.105,-0.458,,-90.75
C,X,Medium,-0.8374,6.758,1.503,2.666,-0.738,3.852,0.6807,,3.758,,3.49,-2.717,90.8
A,X,Medium,-1.163,-2.008,1.022,2.652,-2.256,-2.723,0.8457,2.178,0.1268,-1.793,6.02,1.141,114.56
B,Y,High,,0.9775,2.54,0.5273,0.608,0.8325,-0.8457,1.125,-0.3137,-0.229,5.94,1.176,12.305
,Y,Medium,1.222,2.996,0.06055,1.832,-1.346,1.238,1.164,-0.658,-1.587,2.457,-0.7583,4.43,-9.76
C,X,Medium,4.156,-1.158,-1.07,0.817,,2.47,0.603,2.285,-1.361,,-1.344,2.615,-7.62
B,X,High,3.459,-4.2,-1.329,0.6074,-0.4583,2.53,0.8086,-3.45,,-0.708,-0.4114,,71.8
A,X,Low,4.49,-2.512,0.857,,1.15,0.4614,0.8403,0.839,0.1827,-2.22,7.438,-0.9683,38.8
B,,Medium,-0.3682,-2.324,,-1.106,0.349,0.307,1.715,-1.925,1.927,-2.715,1.723,2.363,149.8
C,Y,Medium,0.4568,4.344,0.02249,2.299,-0.1606,-0.3044,2.578,-1.846,-1.514,,0.41,0.2827,52.0
B,Y,Medium,0.7236,-1.272,1.921,-1.987,2.09,,0.6294,-2.033,1.21,-0.937,2.674,0.3032,61.66
B,Y,Medium,-2.256,-2.562,-0.62,0.8477,0.1561,-3.86,0.963,2.709,2.686,,3.74,-1.06,84.8
B,Y,Low,-1.419,0.6025,-1.164,3.543,1.908,1.07,0.5107,0.2086,-0.3958,0.09174,5.68,2.623,68.0
,,Medium,0.3455,-1.364,4.113,-1.186,2.37,1.054,1.46,2.213,0.619,-2.324,-0.3306,3.37,113.0
A,X,Low,,2.203,-1.963,0.6816,-0.5674,-0.724,2.682,2.22,0.3743,0.3835,-1.767,3.223,52.0
C,X,Low,2.27,-2.58,-1.868,1.304,-1.687,3.201,0.2272,-1.462,0.871,2.049,0.5747,4.055,21.2
A,X,High,2.275,6.59,2.506,-1.564,-0.981,-1.318,1.362,1.616,-0.7583,1.5625,4.055,4.242,-24.2
C,X,High,5.355,5.355,3.053,0.997,,5.85,0.6562,-1.682,-0.3308,0.619,-0.964,3.719,-9.92
C,X,Low,-3.209,1.031,-3.98,1.289,2.346,4.484,0.4993,0.552,0.4814,-0.3599,-1.242,1.08,41.47
C,X,Medium,4.09,2.814,-1.182,3.525,-0.4524,0.915,0.07434,2.121,0.881,-0.3843,-2.217,-1.38,30.58
C,Y,Low,0.4902,2.316,0.6953,2.004,3.248,3.262,2.508,3.656,2.355,-0.799,-0.2328,3.293,40.75
B,Y,Low,-4.15,0.1948,1.79,-0.548,1.064,-3.785,,3.62,1.021,-4.562,0.4988,0.1975,104.7
B,Y,Medium,-2.816,1.35,-0.5693,2.025,-1.465,-2.549,1.365,-1.95,2.244,-1.763,5.71,-1.504,125.4
A,X,Low,-1.483,2.25,1.093,-0.611,-1.5,-0.03087,2.027,3.146,-0.01461,1.899,1.706,4.28,-5.816
B,X,Low,-4.508,-1.231,2.371,-0.951,-0.1205,2.752,1.277,-0.3503,2.906,1.292,2.617,3.422,102.25
B,X,Low,2.154,7.652,-0.8804,-0.837,0.04898,-0.9473,1.21,1.5625,-0.5586,2.883,-2.646,,-43.12
B,Y,Low,-0.0578,1.796,-0.7036,-4.727,-1.809,-0.4148,1.246,1.927,2.088,,-1.398,3.125,-62.66
C,Y,Medium,-2.838,2.348,-1.286,-2.492,0.3074,3.428,0.839,-0.2017,-1.0625,-4.14,1.428,-1.632,49.9
A,Y,Low,0.6,-0.542,2.467,4.4,-3.617,2.588,0.99,3.695,0.8896,-0.4834,6.805,1.134,72.4
A,X,Medium,0.6167,-0.01764,-1.125,-1.78,-1.038,0.665,1.514,1.481,1.557,2.277,0.3667,4.48,-12.38
A,Y,Low,,1.253,0.6924,-0.5703,1.332,0.2874,-0.0407,-2.87,0.11096,-3.084,1.618,-0.1829,85.4
C,X,High,-0.989,0.729,0.3735,-2.576,,3.723,1.728,1.055,,3.082,3.877,-2.865,44.78
A,Y,High,-0.1142,-0.608,0.6406,-2.209,2.012,0.4678,0.3337,4.684,2.143,0.0649,1.187,-0.09314,8.99
B,X,Low,0.878,-2.045,-0.379,0.956,,-2.564,2.232,-0.2878,0.95,5.566,-0.6807,1.011,47.94
B,X,Low,1.32,1.054,3.996,3.621,,2.371,,0.4492,-0.4775,-2.846,,4.16,109.0
A,X,Low,-0.1785,,2.99,0.632,-0.715,-0.1957,-0.2424,-1.329,0.7627,0.4917,-2.4,-3.53,51.53
B,X,Medium,0.5425,1.596,,0.3938,-0.09845,0.7344,0.3223,2.701,0.433,0.897,3.34,2.639,12.75
A,X,Low,0.9834,0.9014,1.552,1.759,-0.296,2.363,2.307,-0.7754,1.05,-0.809,-1.642,3.129,71.6
B,X,Low,-0.907,-2.004,-0.3967,4.49,-0.812,0.2355,0.3806,3.824,-0.4275,-2.402,2.51,-3.154,113.3
A,X,Low,0.958,-1.089,1.475,-0.06238,-1.915,1.282,0.5576,-2.86,1.928,2.023,-2.297,3.068,47.47
B,X,Low,0.6445,4.855,-2.143,0.7734,,1.69,0.783,-0.8164,-0.1937,-2.678,-5.434,-2.17,44.88
B,X,Low,-2.773,1.457,-3.39,,0.9253,2.74,0.3127,0.1918,1.706,-3.219,,3.977,32.4
B,Y,Low,-2.281,0.16,-2.02,-1.882,1.315,1.029,0.3538,1.49,1.036,-0.03137,1.197,0.2595,1.084
B,Y,Medium,-0.73,0.0966,-2.584,-2.996,1.494,0.05112,1.491,-1.27,-1.61,1.56,-0.7363,,25.97
B,X,Medium,-2.78,-3.729,-1.562,1.661,-0.536,1.423,1.276,1.589,0.318,-1.629,,1.501,96.0
A,Y,Medium,-0.5703,5.098,0.619,-0.4077,-0.0778,1.197,1.433,2.459,3.074,-1.854,-0.786,0.524,17.89
B,X,High,-2.424,2.834,-2.615,-0.9067,-0.08997,3.9,0.725,-0.02576,0.7734,3.416,-0.857,-0.677,-20.4
B,X,Medium,-0.8267,-0.1858,1.18,3.328,-0.1941,5.242,1.106,-0.755,2.543,-1.473,1.86,-0.596,101.4
C,X,Low,1.294,1.158,-2.592,-2.62,-1.457,-4.715,0.03195,6.605,2.275,3.703,0.1283,3.434,-76.25
B,,High,-4.598,5.047,1.7705,0.6143,0.2324,1.655,0.646,3.69,,-1.207,1.888,1.815,49.78
B,X,Medium,0.878,-0.4336,-1.403,0.3901,-1.478,3.861,1.711,-0.3296,-0.1619,-4.88,-2.111,1.197,64.25
C,Y,Low,0.8833,2.771,4.47,0.6265,0.07733,1.956,1.184,1.777,1.396,-0.263,1.729,1.753,80.0
,X,Medium,1.517,-5.48,-0.0511,-2.025,-0.03955,2.143,2.21,2.254,-0.1969,1.322,-3.777,3.74,9.33
B,Y,Medium,1.648,-3.422,2.312,1.46,2.717,0.8647,0.8496,4.22,-0.07587,1.268,9.07,6.863,29.48
C,Y,Medium,,0.4521,-1.303,2.984,-0.4937,0.681,1.539,2.633,1.6875,3.1,-1.103,2.629,25.55
B,X,High,-3.059,-1.694,-0.851,-0.8115,0.4285,4.793,0.0256,-0.005722,1.859,-2.283,-0.2583,0.385,78.6
C,Y,High,0.2905,,0.9834,2.045,-0.904,-3.568,-0.2014,-0.7627,0.825,3.166,-1.204,-4.863,79.94
B,X,Low,3.49,-5.8,-0.539,-2.139,-0.8623,0.2798,-1.195,0.813,1.946,4.8,,3.242,-17.5
B,Y,Medium,0.3938,2.367,-0.505,,0.519,-3.32,,1.39,0.5386,3.803,0.1199,,5.465
A,Y,Medium,-3.36,5.086,-0.4424,0.6,-2.25,0.6157,-0.06586,-1.349,2.18,-2.184,0.01272,,43.16
A,X,,-2.04,2.273,-3.023,0.67,-0.2576,-0.406,1.387,2.795,0.984,,0.9194,-1.169,48.8
A,Y,,-1.409,1.829,1.661,-0.6,1.283,-0.1277,1.2295,1.286,-0.1137,-0.696,0.3699,0.862,62.0
A,Y,Low,-4.316,-0.3362,-2.771,0.1279,1.106,-0.5605,2.016,-2.068,2.049,-0.1412,-1.304,1.452,63.0
A,Y,Medium,2.307,0.3472,2.338,1.015,1.053,-0.8257,0.7666,-4.227,,-1.97,3.285,1.014,82.4
A,Y,Low,-0.4678,0.54,4.938,-1.667,0.5815,-0.5815,0.662,1.921,1.163,4.066,0.1438,3.541,22.25
A,X,Medium,2.441,2.273,-0.3325,-1.169,2.506,-3.203,1.253,2.662,2.201,-0.5757,1.88,-5.363,46.97
A,X,Low,-0.962,-1.896,-0.5137,-0.06174,1.779,1.054,-0.3325,5.63,0.07153,-0.4958,2.293,,33.6
,X,Low,1.073,2.18,-1.59,-0.422,-2.057,-0.1159,,-0.02036,0.6724,3.207,-1.122,3.709,-45.22
B,X,High,-2.703,4.32,-1.141,-1.209,-0.6567,0.501,0.7163,-5.406,0.2852,,-1.279,0.36,56.78
A,Y,Medium,-5.49,6.188,,0.783,,-0.6064,1.876,-0.2617,0.671,-4.027,-0.6143,8.33,79.0
B,X,Low,0.8145,-1.108,-0.02505,3.967,1.214,-1.865,1.029,-2.887,0.933,2.2,4.105,2.064,102.06
B,X,Medium,-0.777,0.2142,-1.508,2.81,1.512,1.457,0.6445,1.982,1.308,-0.736,-6.613,-0.968,88.4
,Y,High,-1.516,0.711,2.158,-1.884,1.117,0.1615,1.592,5.992,,-2.422,-0.786,0.0678,51.5
B,Y,Low,-2.055,-0.1675,0.369,0.10913,2.414,-1.383,-1.059,-2.936,1.114,2.062,-6.766,-0.1978,74.06
